Lower Arm Angle, Braking Anti, Acceleration Anti
163.985824,48.660628,60.825785
164.225824,48.316196,60.395244
164.465824,47.978635,59.973293
164.705824,47.647949,59.559937
164.945824,47.324145,59.155182
165.185824,47.007229,58.759037
165.425824,46.697210,58.371512
165.665824,46.394096,57.992620
165.905824,46.097899,57.622374
166.145824,45.808632,57.260790
166.385824,45.526307,56.907883
166.625824,45.250939,56.563674
166.865824,44.982546,56.228182
167.105824,44.721143,55.901429
167.345824,44.466751,55.583438
167.585824,44.219388,55.274235
167.825824,43.979077,54.973847
168.065824,43.745841,54.682301
168.305824,43.519702,54.399627
168.545824,43.300686,54.125858
168.785824,43.088820,53.861026
169.025824,42.884132,53.605165
169.265824,42.686651,53.358313
169.505824,42.496406,53.120508
169.745824,42.313431,52.891788
169.985824,42.137757,52.672196
170.225824,41.969418,52.461773
170.465824,41.808452,52.260565
170.705824,41.654893,52.068617
170.945824,41.508781,51.885976
171.185824,41.370155,51.712694
171.425824,41.239055,51.548819
171.665824,41.115524,51.394405
171.905824,40.999605,51.249506
172.145824,40.891342,51.114178
172.385824,40.790782,50.988478
172.625824,40.697972,50.872465
172.865824,40.612961,50.766201
173.105824,40.535798,50.669747
173.345824,40.466535,50.583168
173.585824,40.405224,50.506531
173.825824,40.351921,50.439901
174.065824,40.306680,50.383349
174.305824,40.269557,50.336947
174.545824,40.240612,50.300766
174.785824,40.219905,50.274881
175.025824,40.207495,50.259368
175.265824,40.203445,50.254307
175.505824,40.207821,50.259776
175.745824,40.220686,50.275857
175.985824,40.242107,50.302634
176.225824,40.272154,50.340193
176.465824,40.310896,50.388620
176.705824,40.358404,50.448004
176.945824,40.414750,50.518438
177.185824,40.480011,50.600013
177.425824,40.554260,50.692826
177.665824,40.637577,50.796971
177.905824,40.730040,50.912549
178.145824,40.831729,51.039661
178.385824,40.942727,51.178409
178.625824,41.063118,51.328898
178.865824,41.192988,51.491235
179.105824,41.332424,51.665529
179.345824,41.481514,51.851893
179.585824,41.640350,52.050438
179.825824,41.809025,52.261281
180.065824,41.987631,52.484539
180.305824,42.176266,52.720333
180.545824,42.375028,52.968785
180.785824,42.584016,53.230019
181.025824,42.803331,53.504164
181.265824,43.033077,53.791347
181.505824,43.273361,54.091701
181.745824,43.524288,54.405360
181.985824,43.785968,54.732461
182.225824,44.058514,55.073143
182.465824,44.342038,55.427548
182.705824,44.636656,55.795820
182.945824,44.942486,56.178107
183.185824,45.259647,56.574559
183.425824,45.588262,56.985327
183.665824,45.928454,57.410568
183.905824,46.280352,57.850440
184.145824,46.644083,58.305103
184.385824,47.019778,58.774723
184.625824,47.407572,59.259465
184.865824,47.807601,59.759501
185.105824,48.220003,60.275003
185.345824,48.644919,60.806149
185.585824,49.082494,61.353117
185.825824,49.532873,61.916091
186.065824,49.996206,62.495257
186.305824,50.472645,63.090806
186.545824,50.962344,63.702930
186.785824,51.465462,64.331827
187.025824,51.982158,64.977697
187.265824,52.512596,65.640746
187.505824,53.056944,66.321180
187.745824,53.615370,67.019212
187.985824,54.188047,67.735059
